"Id;""Name"";""Description"";""ServerName"";""TopicName"";""Address"";""Coef"";""Offset"";""LogEnabled"";""AlEnabled"";""Type"";""AlBool"";""MemTag"";""MbsTcpEnabled"";""MbsTcpFloat"";""SnmpEnabled"";""RTLogEnabled"";""AlAutoAck"";""ForceRO"";""SnmpOID"";""AutoType"";""AlHint"";""AlHigh"";""AlLow"";""AlTimeDB"";""AlLevelDB"";""IVGroupA"";""IVGroupB"";""IVGroupC"";""IVGroupD"";""PageId"";""RTLogWindow"";""RTLogTimer"";""LogDB"";""LogTimer"";""AlLoLo"";""AlHiHi"";""MbsTcpRegister"";""MbsTcpCoef"";""MbsTcpOffset"";""EEN"";""ETO"";""ECC"";""ESU"";""EAT"";""ESH"";""SEN"";""STO"";""SSU"";""TEN"";""TSU"";""FEN"";""FFN"";""FCO"";""AlStat"";""ChangeTime"";""TagValue"";""TagQuality"";""AlType""",,,,
"11;""BMS_Rack_7_Fault_5"";""DCSW3 Fail_Fault"";""MODBUS"";""A"";""43356#11"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 DCSW3 Fail_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"12;""BMS_Rack_7_Fault_6"";""Module PCB Under Temperature_Fault"";""MODBUS"";""A"";""43356#12"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module PCB Under Temperature_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"13;""BMS_Rack_7_Fault_7"";""Module PCB Over-Temperature_Fault"";""MODBUS"";""A"";""43356#13"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module PCB Over-Temperature_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"14;""BMS_Rack_7_Fault_8"";""Charge Current Limit_Fault"";""MODBUS"";""A"";""43356#14"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_6 Charge Current Limit_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"15;""BMS_Rack_7_Fault_9"";""Discharrge Current Limit_Fault"";""MODBUS"";""A"";""43356#15"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Charge Current Limit_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"16;""BMS_Rack_7_Fault_10"";""Rack Fuse Fail_Fault"";""MODBUS"";""A"";""43357#0"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Discharrge Current Limit_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"17;""BMS_Rack_7_Fault_11"";""Permanent Under-Voltage_Fault"";""MODBUS"";""A"";""43357#1"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Rack Fuse Fail_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"18;""BMS_Rack_7_Fault_12"";""Module Under-Temperature_Fault"";""MODBUS"";""A"";""43358#0"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Permanent Under-Voltage_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"19;""BMS_Rack_7_Fault_13"";""Module Over-Temperature_Fault"";""MODBUS"";""A"";""43358#1"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Under-Temperature_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
"20;""BMS_Rack_7_Fault_14"";""Module Under Voltage_Fault"";""MODBUS"";""A"";""43358#2"";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"""";1;0;0;0;0;0;0;0;1;600;10;-1;0;"""";"""";1;1;0;8;"""";"""";""BMS_Rack_7 Module Over-Temperature_Alarm¶"";"""";0;0;"""";"""";0;"""";0;"""";"""";0;0;0;"""";0;""03/08/2020 14:31:32""",,,,
