Id;Name;Description;ServerName;TopicName;Address;Coef;Offset;LogEnabled;AlEnabled;AlBool;MemTag;MbsTcpEnabled;MbsTcpFloat;SnmpEnabled;RTLogEnabled;AlAutoAck;ForceRO;SnmpOID;AutoType;AlHint;AlHigh;AlLow;AlTimeDB;AlLevelDB;IVGroupA;IVGroupB;IVGroupC;IVGroupD;PageId;RTLogWindow;RTLogTimer;LogDB;LogTimer;AlLoLo;AlHiHi;MbsTcpRegister;MbsTcpCoef;MbsTcpOffset;EEN;ETO;ECC;ESU;EAT;ESH;SEN;STO;SSU;TEN;TSU;FEN;FFN;FCO;KPI;Type;AlStat;ChangeTime;TagValue;TagQuality;AlType
15;"BMS2_Rack_7_Fault_9";"Discharrge Current Limit_Fault";"MODBUS";"A";"43856#15";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Charge Current Limit_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
16;"BMS2_Rack_7_Fault_10";"Rack Fuse Fail_Fault";"MODBUS";"A";"43857#0";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Discharrge Current Limit_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
17;"BMS2_Rack_7_Fault_11";"Permanent Under-Voltage_Fault";"MODBUS";"A";"43857#1";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Rack Fuse Fail_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
18;"BMS2_Rack_7_Fault_12";"Module Under-Temperature_Fault";"MODBUS";"A";"43858#0";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Permanent Under-Voltage_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
19;"BMS2_Rack_7_Fault_13";"Module Over-Temperature_Fault";"MODBUS";"A";"43858#1";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Module Under-Temperature_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
20;"BMS2_Rack_7_Fault_14";"Module Under Voltage_Fault";"MODBUS";"A";"43858#2";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Module Over-Temperature_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
21;"BMS2_Rack_7_Fault_15";"Module Over Voltage_Fault";"MODBUS";"A";"43858#3";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Module Under Voltage_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
22;"BMS2_Rack_7_Fault_16";"Module Voltage Imbalance Fault";"MODBUS";"A";"43858#4";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Module Over Voltage_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
23;"BMS2_Rack_7_Fault_17";"Module Temperature Imbalance Fault";"MODBUS";"A";"43858#5";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Module Voltage Imbalance Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:50";0
24;"BMS2_Rack_7_Fault_18";"Rack Module Comms Fail Fault";"MODBUS";"A";"43858#6";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Module Temperature Imbalance Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:50";0
25;"BMS2_Rack_7_Fault_19";"Rack System Comms Fail Fault";"MODBUS";"A";"43858#7";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Rack Module Comms Fail Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:50";0
26;"BMS2_Rack_7_Fault_20";"Rack Charge Over Current Fault";"MODBUS";"A";"43858#8";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Rack System Comms Fail Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:50";0
